1000001,1011,New Jersey Street,,Princeton,NJ,08080
1000002,1022,North Carolina Ave,,Jack City,NC,19204
1000003,1033,Texas Court,,Austin,TX,49506
1000004,2044,Oregon Lane,,Portland,OR,25930
1000005,2144,Colorado street,,Denver,CO,98490
1000006,2244,Iowa Ave,,Iokemsi,IA,03852
1000007,3344,New York Blvd,,Sokem,NY,10948
1000008,3589,Washington Lane,,Seatle,WA,98473
1000009,8867,Park Place,,Huntsville,OR,62409
1000010,6198,Route 6,,Sitka,NC,79107
1000011,19555,River Street,,Homer,WA,95960
1000012,2044,Highland Avenue,,Kodiak,NY,18786
1000013,6374,Dogwood Lane,,Nome,NY,64322
1000014,1228,State Street,,Valdez,TX,87643
1000015,5656,Primrose Lane,,Mesa,WA,60912
1000016,8599,Cedar Street,,Haines,NC,87316
1000017,3603,Linden Street,,Tucson,NJ,15743
1000018,7882,10th Street,,Kodiak,NY,95605
1000019,9550,Hill Street,,Alaska,NY,82847
1000020,11862,4th Street West,,Gadsden,IA,10901
1000021,9776,Route 1,,Lake Havasu City,NJ,87501
1000022,16060,Hill Street,,Andalusia,CO,67888
1000023,2318,Cambridge Court,,Arizona,TX,16457
1000024,15571,Penn Street,,Avondale,CO,76083
1000025,18603,Route 30,,Athens,NC,48533
1000026,7682,Elm Avenue,,Kotzebue,CO,25000
1000027,15629,Mulberry Street,,Talladega,IA,11787
1000028,7507,7th Street,,Oraibi,WA,38729
1000029,16180,Broad Street,,Oraibi,IA,62603
1000030,11749,Main Street East,,Tuscaloosa,WA,93529
1000031,11759,Madison Street,,Glendale,IA,89737
1000032,8941,Washington Avenue,,Talladega,NJ,84315
1000033,3427,Cherry Street,,Juneau,WA,86499
1000034,18292,Prospect Avenue,,Sierra Vista,CO,11013
1000035,13065,King Street,,Homer,WA,42770
1000036,18270,3rd Street,,Clanton,OR,63204
1000037,2946,College Street,,Oraibi,TX,15728
1000038,7729,Wood Street,,Guntersville,NY,58490
1000039,17315,Sunset Drive,,Tucson,NJ,36585
1000040,17357,11th Street,,Fort Payne,OR,38094
1000041,18576,Valley Road,,Scottsdale,NC,44985
1000042,19254,Franklin Street,,Seward,CO,42200
1000043,16703,11th Street,,Tombstone,OR,97765
1000044,17811,Oak Lane,,Clanton,WA,89920
1000045,2886,Church Street,,Homer,WA,84036
1000046,4975,13th Street,,Sylacauga,NJ,75181
1000047,15467,2nd Street East,,Homer,CO,14804
1000048,1840,Hillcrest Drive,,Kodiak,NJ,34983
1000049,17931,Lakeview Drive,,Valdez,NJ,78912
1000050,1603,Clinton Street,,Montgomery,WA,91511
1000051,3479,6th Street North,,Chickasaw,CO,56866
1000052,2227,11th Street,,Anniston,NC,64272
1000053,13164,Union Street,,Gadsden,CO,84950
1000054,6643,Pennsylvania Avenue,,Yuma,CO,50883
1000055,17916,Madison Avenue,,Flagstaff,NC,97529
1000056,2908,Harrison Street,,Winslow,CO,18633
1000057,8389,South Street,,Tuskegee,NC,29471
1000058,19063,James Street,,Florence,CO,64139
1000059,12597,Main Street North,,Opelika,TX,72421
1000060,11742,Park Drive,,Oraibi,IA,33149
1000061,4455,6th Street,,Cullman,OR,88632
1000062,11020,Cherry Street,,Gila Bend,NJ,67263
1000063,9487,Highland Avenue,,Kingman,IA,74680
1000064,12082,Route 1,,Ketchikan,CO,69107
1000065,10761,Clinton Street,,Talladega,OR,78660
1000066,2584,Lakeview Drive,,Ozark,TX,14092
1000067,13589,Pine Street,,Glendale,TX,67535
1000068,2313,Lincoln Street,,Seward,TX,70238
1000069,1073,Poplar Street,,Flagstaff,OR,20347
1000070,7162,Clark Street,,Nome,OR,36516
1000071,1122,Broad Street,,Athens,NC,30347
1000072,11383,Lafayette Avenue,,Winslow,TX,44705
1000073,15023,Spruce Street,,Prescott,WA,98878
1000074,5905,Belmont Avenue,,Lake Havasu City,NJ,93931
1000075,5280,10th Street,,Sierra Vista,NY,74631
1000076,8894,Summit Street,,Fairbanks,TX,29828
1000077,16053,Chicago Ave,,Anchorage,NY,48351
1000078,8414,Union Street,,Selma,NC,98643
1000079,3846,Clinton Street,,Tombstone,NC,13033
